item_details,outletcode,shop_name
Basmathi Rice | Type: Super Basmati Rice | Size of units: 1 | Unit of Measure: kg | Material: | Brand: Falak prmium | Made in | Last Price: Oct_2024 Price: 46,0171,Daily Baazaaru
Wheat Flour | Type: Wheat flour | Size of units: 1 | Unit of Measure: kg | Material: | Brand: | Made in | Last Price: Jan_2025 Price: 3.8,0171,Daily Baazaaru
Whole Wheat Flour | Type: Chakki fresh Atta | Size of units: 1 | Unit of Measure: kg | Material: | Brand: Pilsbury | Made in | Last Price: Jan_2025 Price: 34,0171,Daily Baazaaru
"Bread (sliced,White) | Type: White bread large | Size of units: | Unit of Measure: | Material: | Brand: Enzi | Made in | Last Price: May_2024 Price: 24",0171,Daily Baazaaru
"Bread (sliced,White) | Type: Brown bread small | Size of units: | Unit of Measure: | Material: | Brand: Enzi | Made in | Last Price: May_2024 Price: 26",0171,Daily Baazaaru
Buns | Type: Butter bun | Size of units: | Unit of Measure: | Material: rubber | Brand: Alcyon | Made in | Last Price: Jan_2025 Price: 12,0171,Daily Baazaaru
Frozen Paratta | Type: Plain paratha | Size of units: 5 piece | Unit of Measure: | Material: Green packet | Brand: Kawan | Made in Malaysia | Last Price: Jan_2025 Price: 46,0171,Daily Baazaaru
Marie Biscuits | Type: Original Marie | Size of units: 400 | Unit of Measure: g | Material: | Brand: CBL Munchee | Made in Sri Lanka | Last Price: Jan_2025 Price: 28,0171,Daily Baazaaru
"Faaroshi, hikki banas | Type: Faaroshi | Size of units: Big | Unit of Measure: packet | Material: clear | Brand: Alcyon | Made in | Last Price: Jan_2025 Price: 60",0171,Daily Baazaaru
Packet Cakes | Type: Chocolate cake | Size of units: 18 | Unit of Measure: g | Material: | Brand: Apollo | Made in Malaysia | Last Price: Jan_2025 Price: 2.5,0171,Daily Baazaaru
Corn Flakes | Type: Original | Size of units: 250 | Unit of Measure: g | Material: box | Brand: Kellogs | Made in India | Last Price: Jan_2025 Price: 50,0171,Daily Baazaaru
Chocos | Type: Chocos | Size of units: 385 | Unit of Measure: g | Material: pouch | Brand: Kellogg's | Made in | Last Price: Jan_2025 Price: 80,0171,Daily Baazaaru
Oats | Type: Rolled oats | Size of units: 400 | Unit of Measure: g | Material: red packet | Brand: Kellogs | Made in India | Last Price: Dec_2024 Price: 55,0171,Daily Baazaaru
Pasta | Type: penne | Size of units: 500 | Unit of Measure: g | Material: | Brand: San Remo | Made in Australia | Last Price: Dec_2024 Price: 36,0171,Daily Baazaaru
Noodles | Type: Curry noodles | Size of units: 80 | Unit of Measure: g | Material: | Brand: Mamee | Made in Malaysia | Last Price: Jan_2025 Price: 6,0171,Daily Baazaaru
Noodles | Type: Hot and spicy noodles | Size of units: 80 | Unit of Measure: g | Material: | Brand: Kothumee | Made in Malaysia | Last Price: Jan_2025 Price: 6,0171,Daily Baazaaru
Cake mix | Type: Dark chocolate | Size of units: 485 | Unit of Measure: gram | Material: blue pouch | Brand: pillsburry | Made in | Last Price: Jan_2025 Price: 50,0171,Daily Baazaaru
Frozen Beef | Type: Beef with bones | Size of units: 900 | Unit of Measure: g | Material: | Brand: Best food | Made in | Last Price: May_2024 Price: 105,0171,Daily Baazaaru
Frozen Chicken | Type: Whole chicken | Size of units: 1 | Unit of Measure: kg | Material: | Brand: Wade | Made in | Last Price: Jan_2025 Price: 58,0171,Daily Baazaaru
Normal Rice | Type: Normal Rice | Size of units: 1 | Unit of Measure: kg | Material: | Brand: | Made in | Last Price: Jan_2025 Price: 5,0201,Day night mart
Basmathi Rice | Type: Fusion Basmathi rice | Size of units: 1 | Unit of Measure: kg | Material: box | Brand: Dunar | Made in Pakistan | Last Price: Jan_2025 Price: 42,0201,Day night mart
Wheat Flour | Type: Wheat flour | Size of units: 1 | Unit of Measure: kg | Material: | Brand: | Made in | Last Price: Jan_2025 Price: 4.5,0201,Day night mart
Whole Wheat Flour | Type: Chakki fresh Atta | Size of units: 1 | Unit of Measure: kg | Material: Orange packet | Brand: Al baker | Made in | Last Price: Jan_2025 Price: 32,0201,Day night mart
"Bread(sliced, loaf) | Type: White bread Large | Size of units: | Unit of Measure: | Material: | Brand: Alcyon | Made in | Last Price: Jan_2025 Price: 24",0201,Day night mart
Buns | Type: Soft buns | Size of units: 12 buns | Unit of Measure: | Material: | Brand: Alcyon | Made in | Last Price: Jan_2025 Price: 12,0201,Day night mart
Frozen Paratta | Type: Plain Paratha | Size of units: 400 g | Unit of Measure: 5 Pcs | Material: green packet | Brand: Kawan | Made in Malaysia | Last Price: Jan_2025 Price: 45,0201,Day night mart
Cream crackers | Type: Cream Crackers | Size of units: 200 | Unit of Measure: g | Material: Blue packet | Brand: Navigable | Made in Malaysia | Last Price: Jan_2025 Price: 15,0201,Day night mart
Marie Biscuits | Type: Marie biscuits | Size of units: 400 | Unit of Measure: g | Material: | Brand: CBL Munchee | Made in Sri Lanka | Last Price: Jan_2025 Price: 28,0201,Day night mart
Other crackers | Type: Vanilla filling | Size of units: 150 | Unit of Measure: g | Material: | Brand: Oreo | Made in | Last Price: Jan_2025 Price: 18,0201,Day night mart
"Hard buns, Faaroshi, hikki banas | Type: Small faaroshi | Size of units: | Unit of Measure: | Material: | Brand: Alcyon | Made in | Last Price: Jan_2025 Price: 10",0201,Day night mart
Packet Cakes | Type: Chocolate cake | Size of units: 18 | Unit of Measure: g | Material: | Brand: Apollo | Made in Malaysia | Last Price: Jan_2025 Price: 2,0201,Day night mart
Corn flakes | Type: Original | Size of units: 250 | Unit of Measure: g | Material: box | Brand: Kellogs | Made in India | Last Price: Jan_2025 Price: 55,0201,Day night mart
Chocos | Type: Chocos Webs | Size of units: 300 | Unit of Measure: g | Material: Box | Brand: kelloggs | Made in India | Last Price: Jan_2025 Price: 45,0201,Day night mart
Oats | Type: Oats | Size of units: 400 | Unit of Measure: g | Material: Red packet | Brand: Kellogg's | Made in | Last Price: Jan_2025 Price: 55,0201,Day night mart
Pasta | Type: Penne | Size of units: 500 | Unit of Measure: g | Material: | Brand: San Remo | Made in Australia | Last Price: Jan_2025 Price: 32,0201,Day night mart
